{'loss': 3.2823, 'grad_norm': 12.849579811096191, 'learning_rate': 4.961749135530463e-05, 'epoch': 0.02}                                                                                                                                                                     
{'loss': 2.3474, 'grad_norm': 13.779041290283203, 'learning_rate': 4.923498271060926e-05, 'epoch': 0.05}                                                                                                                                                                     
{'loss': 2.0953, 'grad_norm': 14.7366361618042, 'learning_rate': 4.88524740659139e-05, 'epoch': 0.07}                                                                                                                                                                        
{'loss': 1.9919, 'grad_norm': 15.385443687438965, 'learning_rate': 4.846996542121852e-05, 'epoch': 0.09}                                                                                                                                                                     
{'loss': 1.9132, 'grad_norm': 12.009077072143555, 'learning_rate': 4.8087456776523156e-05, 'epoch': 0.11}                                                                                                                                                                    
{'loss': 1.8785, 'grad_norm': 12.720046043395996, 'learning_rate': 4.770494813182778e-05, 'epoch': 0.14}                                                                                                                                                                     
{'loss': 1.8032, 'grad_norm': 11.389439582824707, 'learning_rate': 4.7322439487132415e-05, 'epoch': 0.16}                                                                                                                                                                    
{'loss': 1.7546, 'grad_norm': 14.01720905303955, 'learning_rate': 4.693993084243704e-05, 'epoch': 0.18}                                                                                                                                                                      
{'loss': 1.7472, 'grad_norm': 13.224567413330078, 'learning_rate': 4.6557422197741674e-05, 'epoch': 0.21}                                                                                                                                                                    
{'loss': 1.6961, 'grad_norm': 12.60826587677002, 'learning_rate': 4.61749135530463e-05, 'epoch': 0.23}                                                                                                                                                                       
{'loss': 1.6628, 'grad_norm': 14.82346248626709, 'learning_rate': 4.579240490835093e-05, 'epoch': 0.25}                                                                                                                                                                      
{'loss': 1.6444, 'grad_norm': 15.222482681274414, 'learning_rate': 4.540989626365556e-05, 'epoch': 0.28}                                                                                                                                                                     
{'loss': 1.6411, 'grad_norm': 16.434724807739258, 'learning_rate': 4.502738761896019e-05, 'epoch': 0.3}                                                                                                                                                                      
{'loss': 1.5716, 'grad_norm': 11.421690940856934, 'learning_rate': 4.464487897426482e-05, 'epoch': 0.32}                                                                                                                                                                     
{'loss': 1.5464, 'grad_norm': 15.544936180114746, 'learning_rate': 4.426237032956945e-05, 'epoch': 0.34}                                                                                                                                                                     
{'loss': 1.5311, 'grad_norm': 12.554281234741211, 'learning_rate': 4.387986168487408e-05, 'epoch': 0.37}                                                                                                                                                                     
{'loss': 1.5362, 'grad_norm': 11.48270034790039, 'learning_rate': 4.349735304017871e-05, 'epoch': 0.39}                                                                                                                                                                      
{'loss': 1.5229, 'grad_norm': 13.59222412109375, 'learning_rate': 4.311484439548334e-05, 'epoch': 0.41}                                                                                                                                                                      
{'loss': 1.4742, 'grad_norm': 13.323988914489746, 'learning_rate': 4.2732335750787975e-05, 'epoch': 0.44}                                                                                                                                                                    
{'loss': 1.4465, 'grad_norm': 12.00304126739502, 'learning_rate': 4.23498271060926e-05, 'epoch': 0.46}                                                                                                                                                                       
{'loss': 1.4624, 'grad_norm': 11.778223991394043, 'learning_rate': 4.1967318461397234e-05, 'epoch': 0.48}                                                                                                                                                                    
{'loss': 1.4183, 'grad_norm': 17.413915634155273, 'learning_rate': 4.1584809816701856e-05, 'epoch': 0.5}                                                                                                                                                                     
{'loss': 1.3926, 'grad_norm': 13.37586498260498, 'learning_rate': 4.120230117200649e-05, 'epoch': 0.53}                                                                                                                                                                      
{'loss': 1.4003, 'grad_norm': 12.49588394165039, 'learning_rate': 4.0819792527311115e-05, 'epoch': 0.55}                                                                                                                                                                     
{'loss': 1.3875, 'grad_norm': 16.116825103759766, 'learning_rate': 4.043728388261575e-05, 'epoch': 0.57}                                                                                                                                                                     
{'loss': 1.3664, 'grad_norm': 14.408117294311523, 'learning_rate': 4.005477523792038e-05, 'epoch': 0.6}                                                                                                                                                                      
{'loss': 1.3668, 'grad_norm': 13.38919448852539, 'learning_rate': 3.967226659322501e-05, 'epoch': 0.62}                                                                                                                                                                      
{'loss': 1.3403, 'grad_norm': 16.958271026611328, 'learning_rate': 3.928975794852964e-05, 'epoch': 0.64}                                                                                                                                                                     
{'loss': 1.3349, 'grad_norm': 18.9798583984375, 'learning_rate': 3.890724930383427e-05, 'epoch': 0.67}                                                                                                                                                                       
{'loss': 1.3294, 'grad_norm': 14.39108657836914, 'learning_rate': 3.85247406591389e-05, 'epoch': 0.69}                                                                                                                                                                       
{'loss': 1.3152, 'grad_norm': 12.181502342224121, 'learning_rate': 3.814223201444353e-05, 'epoch': 0.71}                                                                                                                                                                     
{'loss': 1.3076, 'grad_norm': 16.464841842651367, 'learning_rate': 3.775972336974816e-05, 'epoch': 0.73}                                                                                                                                                                     
{'loss': 1.3017, 'grad_norm': 15.221725463867188, 'learning_rate': 3.7377214725052786e-05, 'epoch': 0.76}                                                                                                                                                                    
{'loss': 1.2969, 'grad_norm': 17.358251571655273, 'learning_rate': 3.6994706080357416e-05, 'epoch': 0.78}                                                                                                                                                                    
{'loss': 1.2592, 'grad_norm': 12.30673599243164, 'learning_rate': 3.661219743566205e-05, 'epoch': 0.8}                                                                                                                                                                       
{'loss': 1.2782, 'grad_norm': 14.432243347167969, 'learning_rate': 3.6229688790966675e-05, 'epoch': 0.83}                                                                                                                                                                    
{'loss': 1.2433, 'grad_norm': 13.37656307220459, 'learning_rate': 3.584718014627131e-05, 'epoch': 0.85}                                                                                                                                                                      
{'loss': 1.2417, 'grad_norm': 16.419536590576172, 'learning_rate': 3.5464671501575933e-05, 'epoch': 0.87}                                                                                                                                                                    
{'loss': 1.2005, 'grad_norm': 10.746321678161621, 'learning_rate': 3.508216285688057e-05, 'epoch': 0.9}                                                                                                                                                                      
{'loss': 1.1979, 'grad_norm': 26.863019943237305, 'learning_rate': 3.469965421218519e-05, 'epoch': 0.92}                                                                                                                                                                     
{'loss': 1.1822, 'grad_norm': 15.218781471252441, 'learning_rate': 3.431714556748983e-05, 'epoch': 0.94}                                                                                                                                                                     
{'loss': 1.2005, 'grad_norm': 15.078357696533203, 'learning_rate': 3.393463692279446e-05, 'epoch': 0.96}                                                                                                                                                                     
{'loss': 1.1769, 'grad_norm': 13.022208213806152, 'learning_rate': 3.355212827809909e-05, 'epoch': 0.99}                                                                                                                                                                     
{'loss': 1.1279, 'grad_norm': 17.328813552856445, 'learning_rate': 3.316961963340372e-05, 'epoch': 1.01}                                                                                                                                                                     
{'loss': 1.0432, 'grad_norm': 15.440080642700195, 'learning_rate': 3.2787110988708346e-05, 'epoch': 1.03}                                                                                                                                                                    
{'loss': 1.0465, 'grad_norm': 12.810063362121582, 'learning_rate': 3.2404602344012975e-05, 'epoch': 1.06}                                                                                                                                                                    
{'loss': 1.0373, 'grad_norm': 10.755290985107422, 'learning_rate': 3.2022093699317605e-05, 'epoch': 1.08}                                                                                                                                                                    
{'loss': 1.038, 'grad_norm': 20.09975814819336, 'learning_rate': 3.1639585054622234e-05, 'epoch': 1.1}                                                                                                                                                                       
